"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"213","P06",12,"P06 GemsCued","GemsCued",1372.7441084,1393.6651809,-15909,17281.7441084,17302.6651809
"214","P06",13,"P06 GemsCued","GemsCued",1405.660678,1447.7867285,-15909,17314.660678,17356.7867285
"215","P06",14,"P06 GemsCued","GemsCued",1518.3082432,1561.0683655,-15909,17427.3082432,17470.0683655
"216","P06",15,"P06 GemsCued","GemsCued",1573.1137346,1603.3943759,-15909,17482.1137346,17512.3943759
"217","P06",16,"P06 GemsTablet","GemsTablet",1930.3591372,1991.0706834,-15153,17083.3591372,17144.0706834
"218","P06",17,"P06 GemsTablet","GemsTablet",2008.189197,2045.2757012,-15153,17161.189197,17198.2757012
"219","P06",18,"P06 GemsTablet","GemsTablet",2060.0238231,2096.060373,-15153,17213.0238231,17249.060373
"220","P06",19,"P06 GemsTablet","GemsTablet",2109.207065,2137.6025043,-15153,17262.207065,17290.6025043
"221","P06",20,"P06 GemsTablet","GemsTablet",2147.7961647,2180.1122131,-15153,17300.7961647,17333.1122131
"222","P06",21,"P06 GemsTablet","GemsTablet",2191.5071691,2231.3140853,-15153,17344.5071691,17384.3140853
"223","P06",22,"P06 GemsTablet","GemsTablet",2248.5649142,2279.2126351,-15153,17401.5649142,17432.2126351
"224","P06",23,"P06 GemsTablet","GemsTablet",2290.4573708,2312.9302808,-15153,17443.4573708,17465.9302808
"225","P06",24,"P06 GemsBasic","GemsBasic",2606.0773337,2659.2645819,-14470,17076.0773337,17129.2645819
"226","P06",25,"P06 GemsBasic","GemsBasic",2675.4309685,2712.3851162,-14470,17145.4309685,17182.3851162
"227","P06",26,"P06 GemsBasic","GemsBasic",2727.4504065,2751.7082932,-14470,17197.4504065,17221.7082932
"228","P06",27,"P06 GemsBasic","GemsBasic",2787.160855,2814.3050173,-14470,17257.160855,17284.3050173
"229","P06",28,"P06 GemsBasic","GemsBasic",2834.1084973,2880.8725486,-14470,17304.1084973,17350.8725486
"230","P06",29,"P06 GemsBasic","GemsBasic",2890.3655037,2927.620006,-14470,17360.3655037,17397.620006
"231","P06",30,"P06 GemsBasic","GemsBasic",2937.4465168,2977.5538782,-14470,17407.4465168,17447.5538782
"232","P06",31,"P06 GemsBasic","GemsBasic",2995.3385799,3006.6833614,-14470,17465.3385799,17476.6833614
